name,prediction,conf
model_antiviral3_1615,0.9160564,model_antiviral3_1615_complex.20
model_antiviral3_3858,0.9158545,model_antiviral3_3858_complex.3
model_antiviral3_2805,0.91560715,model_antiviral3_2805_complex.9
model_antiviral3_361,0.91548026,model_antiviral3_361_complex.15
model_antiviral3_1226,0.91547436,model_antiviral3_1226_complex.11
model_antiviral3_3524,0.91540176,model_antiviral3_3524_complex.16
model_antiviral3_1587,0.91473883,model_antiviral3_1587_complex.18
model_antiviral3_3585,0.9146643,model_antiviral3_3585_complex.9
model_antiviral3_3839,0.9145999,model_antiviral3_3839_complex.5
model_antiviral3_2222,0.9145938,model_antiviral3_2222_complex.10
model_antiviral3_1082,0.91419584,model_antiviral3_1082_complex.15
model_antiviral3_1601,0.9141017,model_antiviral3_1601_complex.3
model_antiviral3_1655,0.9140218000000001,model_antiviral3_1655_complex.7
model_antiviral3_1085,0.91389513,model_antiviral3_1085_complex.19
model_antiviral3_671,0.9138396999999999,model_antiviral3_671_complex.1
model_antiviral3_1105,0.9138393,model_antiviral3_1105_complex.5
model_antiviral3_879,0.91349596,model_antiviral3_879_complex.19
model_antiviral3_3653,0.9129513000000001,model_antiviral3_3653_complex.17
model_antiviral3_4229,0.9128109000000001,model_antiviral3_4229_complex.16
model_antiviral3_780,0.9125709000000001,model_antiviral3_780_complex.14
model_antiviral3_2932,0.91249275,model_antiviral3_2932_complex.6
model_antiviral3_657,0.91249156,model_antiviral3_657_complex.14
model_antiviral3_1812,0.91246945,model_antiviral3_1812_complex.3
model_antiviral3_856,0.91223556,model_antiviral3_856_complex.14
model_antiviral3_2149,0.9122186,model_antiviral3_2149_complex.19
model_antiviral3_776,0.9121778,model_antiviral3_776_complex.17
model_antiviral3_3927,0.9121195,model_antiviral3_3927_complex.12
model_antiviral3_2278,0.9118408000000001,model_antiviral3_2278_complex.15
model_antiviral3_2032,0.9118054,model_antiviral3_2032_complex.15
model_antiviral3_1882,0.9116187,model_antiviral3_1882_complex.15
model_antiviral3_3084,0.91156703,model_antiviral3_3084_complex.16
model_antiviral3_888,0.9114021999999999,model_antiviral3_888_complex.17
model_antiviral3_3024,0.9113558,model_antiviral3_3024_complex.19
model_antiviral3_2004,0.9112585999999999,model_antiviral3_2004_complex.9
model_antiviral3_4210,0.9111456,model_antiviral3_4210_complex.18
model_antiviral3_4374,0.9111292999999999,model_antiviral3_4374_complex.18
model_antiviral3_3178,0.91112524,model_antiviral3_3178_complex.3
model_antiviral3_2401,0.9110845,model_antiviral3_2401_complex.11
model_antiviral3_3189,0.9110103999999999,model_antiviral3_3189_complex.5
model_antiviral3_2762,0.9107341,model_antiviral3_2762_complex.15
model_antiviral3_98,0.91069627,model_antiviral3_98_complex.20
model_antiviral3_1126,0.91054845,model_antiviral3_1126_complex.4
model_antiviral3_3245,0.9104257,model_antiviral3_3245_complex.16
model_antiviral3_3633,0.9102650999999999,model_antiviral3_3633_complex.4
model_antiviral3_2864,0.91004086,model_antiviral3_2864_complex.6
model_antiviral3_1122,0.9098968000000001,model_antiviral3_1122_complex.6
model_antiviral3_1770,0.90949315,model_antiviral3_1770_complex.13
model_antiviral3_2688,0.90917534,model_antiviral3_2688_complex.6
model_antiviral3_1141,0.9089124,model_antiviral3_1141_complex.13
model_antiviral3_2637,0.90878224,model_antiviral3_2637_complex.20
model_antiviral3_1672,0.90872633,model_antiviral3_1672_complex.7
model_antiviral3_789,0.90834343,model_antiviral3_789_complex.16
model_antiviral3_4134,0.90800047,model_antiviral3_4134_complex.20
model_antiviral3_4292,0.9078953000000002,model_antiviral3_4292_complex.5
model_antiviral3_2011,0.90778786,model_antiviral3_2011_complex.2
model_antiviral3_863,0.90765476,model_antiviral3_863_complex.11
model_antiviral3_1033,0.90759635,model_antiviral3_1033_complex.4
model_antiviral3_4287,0.9073114,model_antiviral3_4287_complex.19
model_antiviral3_771,0.9071933000000001,model_antiviral3_771_complex.2
model_antiviral3_2891,0.90679264,model_antiviral3_2891_complex.16
model_antiviral3_1914,0.9064401,model_antiviral3_1914_complex.13
model_antiviral3_2540,0.9062145,model_antiviral3_2540_complex.15
model_antiviral3_876,0.9060739999999999,model_antiviral3_876_complex.20
model_antiviral3_1609,0.9060234,model_antiviral3_1609_complex.6
model_antiviral3_567,0.90570825,model_antiviral3_567_complex.6
model_antiviral3_1933,0.90563715,model_antiviral3_1933_complex.13
model_antiviral3_2265,0.90529597,model_antiviral3_2265_complex.5
model_antiviral3_2049,0.90511817,model_antiviral3_2049_complex.14
model_antiviral3_89,0.9051171,model_antiviral3_89_complex.20
model_antiviral3_2307,0.9050686,model_antiviral3_2307_complex.6
model_antiviral3_4107,0.9048634,model_antiviral3_4107_complex.5
model_antiviral3_1286,0.90385747,model_antiviral3_1286_complex.8
model_antiviral3_2548,0.9036931999999999,model_antiviral3_2548_complex.20
model_antiviral3_1254,0.9032771,model_antiviral3_1254_complex.2
model_antiviral3_963,0.9032565999999999,model_antiviral3_963_complex.9
model_antiviral3_1723,0.90315163,model_antiviral3_1723_complex.10
model_antiviral3_3235,0.9027214,model_antiviral3_3235_complex.13
model_antiviral3_1041,0.90264827,model_antiviral3_1041_complex.15
model_antiviral3_2743,0.9025235999999999,model_antiviral3_2743_complex.9
model_antiviral3_3063,0.9022171,model_antiviral3_3063_complex.14
model_antiviral3_502,0.9018141,model_antiviral3_502_complex.8
model_antiviral3_3006,0.9017869000000001,model_antiviral3_3006_complex.3
model_antiviral3_3280,0.9017075000000001,model_antiviral3_3280_complex.1
model_antiviral3_1778,0.9015711,model_antiviral3_1778_complex.19
model_antiviral3_1295,0.9013529,model_antiviral3_1295_complex.13
model_antiviral3_1798,0.90126747,model_antiviral3_1798_complex.6
model_antiviral3_1771,0.9012046,model_antiviral3_1771_complex.6
model_antiviral3_1547,0.9008322,model_antiviral3_1547_complex.17
model_antiviral3_4198,0.90080154,model_antiviral3_4198_complex.6
model_antiviral3_3110,0.9007526,model_antiviral3_3110_complex.9
model_antiviral3_2731,0.9006847,model_antiviral3_2731_complex.17
model_antiviral3_3439,0.9005013000000001,model_antiviral3_3439_complex.15
model_antiviral3_2732,0.9004883,model_antiviral3_2732_complex.12
model_antiviral3_2260,0.90047073,model_antiviral3_2260_complex.1
model_antiviral3_4481,0.90038955,model_antiviral3_4481_complex.3
model_antiviral3_1053,0.90001696,model_antiviral3_1053_complex.6
model_antiviral3_820,0.89988065,model_antiviral3_820_complex.17
model_antiviral3_3662,0.899754,model_antiviral3_3662_complex.18
model_antiviral3_2771,0.8993548000000001,model_antiviral3_2771_complex.9
model_antiviral3_147,0.89862317,model_antiviral3_147_complex.10
model_antiviral3_3624,0.8985619,model_antiviral3_3624_complex.7
model_antiviral3_3793,0.8983499,model_antiviral3_3793_complex.19
model_antiviral3_158,0.8983129000000001,model_antiviral3_158_complex.8
model_antiviral3_1080,0.8980746,model_antiviral3_1080_complex.8
model_antiviral3_3447,0.8980611,model_antiviral3_3447_complex.18
model_antiviral3_2640,0.8980473,model_antiviral3_2640_complex.16
model_antiviral3_2568,0.89800876,model_antiviral3_2568_complex.7
model_antiviral3_1262,0.89794695,model_antiviral3_1262_complex.13
model_antiviral3_3427,0.8978451999999999,model_antiviral3_3427_complex.5
model_antiviral3_3910,0.8978216999999998,model_antiviral3_3910_complex.8
model_antiviral3_2383,0.89766484,model_antiviral3_2383_complex.19
model_antiviral3_1256,0.8975296,model_antiviral3_1256_complex.16
model_antiviral3_219,0.89744174,model_antiviral3_219_complex.19
model_antiviral3_4100,0.89739156,model_antiviral3_4100_complex.4
model_antiviral3_2656,0.897368,model_antiviral3_2656_complex.3
model_antiviral3_3968,0.8973117,model_antiviral3_3968_complex.9
model_antiviral3_2655,0.89730066,model_antiviral3_2655_complex.16
