name,prediction
model_antiviral3_3235_complex.13,0.9027214
model_antiviral3_1041_complex.15,0.90264827
model_antiviral3_2743_complex.9,0.9025236
model_antiviral3_3063_complex.14,0.9022171
model_antiviral3_343_complex.5,0.902024
model_antiviral3_502_complex.8,0.9018141
model_antiviral3_110_complex.15,0.90179753
model_antiviral3_3006_complex.3,0.9017869
model_antiviral3_3280_complex.1,0.9017075
model_antiviral3_1778_complex.19,0.9015711
model_antiviral3_1295_complex.13,0.9013529
model_antiviral3_1798_complex.6,0.90126747
model_antiviral3_1771_complex.6,0.9012046
model_antiviral3_4292_complex.7,0.9009513
model_antiviral3_1547_complex.17,0.9008322
model_antiviral3_4198_complex.6,0.90080154
model_antiviral3_3110_complex.9,0.9007526
model_antiviral3_2731_complex.17,0.9006847
model_antiviral3_3439_complex.15,0.9005013
model_antiviral3_2732_complex.12,0.9004883
model_antiviral3_2260_complex.1,0.90047073
model_antiviral3_4481_complex.3,0.90038955
model_antiviral3_1053_complex.6,0.90001696
model_antiviral3_1773_complex.10,0.8999788
model_antiviral3_820_complex.17,0.89988065
model_antiviral3_3662_complex.18,0.899754
model_antiviral3_2771_complex.9,0.8993548
model_antiviral3_147_complex.10,0.89862317
model_antiviral3_3624_complex.7,0.8985619
model_antiviral3_3793_complex.19,0.8983499
model_antiviral3_158_complex.8,0.8983129
model_antiviral3_1080_complex.8,0.8980746
model_antiviral3_3447_complex.18,0.8980611
model_antiviral3_2640_complex.16,0.8980473
model_antiviral3_820_complex.13,0.89803696
model_antiviral3_2568_complex.7,0.89800876
model_antiviral3_1262_complex.13,0.89794695
model_antiviral3_3427_complex.5,0.8978452
model_antiviral3_3910_complex.8,0.8978217
model_antiviral3_2383_complex.19,0.89766484
model_antiviral3_1256_complex.16,0.8975296
model_antiviral3_219_complex.19,0.89744174
model_antiviral3_4100_complex.4,0.89739156
model_antiviral3_2656_complex.3,0.897368
model_antiviral3_3968_complex.9,0.8973117
model_antiviral3_2655_complex.16,0.89730066
model_antiviral3_2830_complex.15,0.89706284
model_antiviral3_2279_complex.20,0.89702016
model_antiviral3_4388_complex.14,0.89693654
model_antiviral3_3698_complex.10,0.89611953
model_antiviral3_1985_complex.5,0.8960821
model_antiviral3_276_complex.17,0.89591545
model_antiviral3_3480_complex.5,0.8954288
model_antiviral3_1612_complex.4,0.89508617
model_antiviral3_1605_complex.2,0.8950666
model_antiviral3_3252_complex.7,0.8947425
model_antiviral3_1661_complex.18,0.8946964
model_antiviral3_2383_complex.5,0.8944125
model_antiviral3_1917_complex.1,0.8943815
model_antiviral3_1087_complex.2,0.8942278
model_antiviral3_4083_complex.5,0.89395076
model_antiviral3_1383_complex.8,0.89373827
model_antiviral3_2891_complex.1,0.8936902
model_antiviral3_3829_complex.7,0.8936142
model_antiviral3_4019_complex.17,0.89361036
model_antiviral3_2253_complex.14,0.89312077
model_antiviral3_4388_complex.15,0.8930604
model_antiviral3_3958_complex.4,0.892954
model_antiviral3_3447_complex.4,0.8927831
model_antiviral3_1568_complex.16,0.89272153
model_antiviral3_1232_complex.19,0.8926916
model_antiviral3_2032_complex.17,0.892665
model_antiviral3_1373_complex.11,0.89252144
model_antiviral3_3911_complex.3,0.892509
model_antiviral3_3341_complex.3,0.8925051
model_antiviral3_2611_complex.3,0.89195114
model_antiviral3_2955_complex.20,0.89177585
model_antiviral3_1841_complex.4,0.89173687
model_antiviral3_2224_complex.3,0.891622
model_antiviral3_827_complex.20,0.89113635
model_antiviral3_1640_complex.6,0.891132
model_antiviral3_1428_complex.18,0.8910388
model_antiviral3_4048_complex.7,0.8909556
model_antiviral3_1015_complex.12,0.8909054
model_antiviral3_204_complex.3,0.89085644
model_antiviral3_535_complex.3,0.8907695
model_antiviral3_417_complex.3,0.8905568
model_antiviral3_1851_complex.11,0.8901979
model_antiviral3_1144_complex.17,0.89003414
model_antiviral3_2000_complex.18,0.88990474
model_antiviral3_1509_complex.18,0.88976175
model_antiviral3_612_complex.17,0.88969624
model_antiviral3_4100_complex.20,0.8895372
model_antiviral3_2855_complex.5,0.88948005
model_antiviral3_1209_complex.6,0.88942885
model_antiviral3_713_complex.9,0.8892709
model_antiviral3_2559_complex.15,0.8892052
model_antiviral3_3888_complex.20,0.8891464
model_antiviral3_2631_complex.9,0.889051
